Time,Amplitude
0.0,5.0284323959728985
1.111729293774319e-07,5.029261660307691
2.223458587548638e-07,5.030060336765272
3.3351878813229573e-07,5.030828916479454
4.446917175097276e-07,5.031567890584051
5.558646468871596e-07,5.032277750212876
6.670375762645915e-07,5.032958986499744
7.782105056420233e-07,5.033612090578467
8.893834350194552e-07,5.03423755358286
1.0005563643968871e-06,5.034835866646735
1.1117292937743191e-06,5.035407520903907
1.222902223151751e-06,5.035953007488189
1.334075152529183e-06,5.0364728175333955
1.4452480819066147e-06,5.036967442173339
1.5564210112840467e-06,5.037437372541833
1.6675939406614785e-06,5.037883099772692
1.7787668700389105e-06,5.038305114999729
1.8899397994163425e-06,5.038703909356758
2.0011127287937743e-06,5.039079973977593
2.112285658171206e-06,5.039433799996046
2.2234585875486383e-06,5.039765878545932
2.33463151692607e-06,5.040076700761064
2.445804446303502e-06,5.0403667577752564
2.5569773756809336e-06,5.040636540722322
2.668150305058366e-06,5.040886540736075
2.7793232344357976e-06,5.041117248950329
2.8904961638132294e-06,5.041329156498896
3.0016690931906616e-06,5.041522754515591
3.1128420225680934e-06,5.041698534134229
3.224014951945525e-06,5.041856986488621
3.335187881322957e-06,5.041998602712582
3.446360810700389e-06,5.042123873939924
3.557533740077821e-06,5.042233291304464
3.6687066694552528e-06,5.042327345940012
3.779879598832685e-06,5.042406528980384
3.891052528210116e-06,5.042471331559392
4.0022254575875485e-06,5.042522244810851
4.113398386964981e-06,5.042559759868574
4.224571316342412e-06,5.042584367866374
4.335744245719844e-06,5.042596559938065
4.4469171750972765e-06,5.042596827217462
4.558090104474708e-06,5.042585660838377
4.66926303385214e-06,5.042563551934624
4.780435963229572e-06,5.042530991640016
4.891608892607004e-06,5.042488471088367
5.002781821984436e-06,5.042436481413492
5.113954751361867e-06,5.042375513749202
5.2251276807392995e-06,5.042306059229313
5.336300610116732e-06,5.042228608987638
5.447473539494163e-06,5.042143654157989
5.558646468871595e-06,5.042051685873461
5.6698193982490274e-06,5.042869264036048
5.780992327626459e-06,5.042257247301167
5.892165257003891e-06,5.042227971750667
6.003338186381323e-06,5.04177698776562
6.114511115758755e-06,5.0410740581579025
6.225684045136187e-06,5.041157851401441
6.336856974513619e-06,5.040866025798922
6.44802990389105e-06,5.039658015318212
6.559202833268483e-06,5.038701545715707
6.670375762645914e-06,5.038872334947068
