FuncType;InfNum;Name;Prio
131;85;U<>  : tU>2 abgelaufen;1
131;86;U<>  : Anregung U<1;1
131;87;U<>  : Anregung U<x L1(-L2);1
131;88;U<>  : Anregung U<x L2(-L3);1
131;89;U<>  : Anregung U<x L3(-L1);1
131;90;U<>  : tU<1 abgelaufen;1
131;91;U<>  : tU<2 abgelaufen;1
131;92;U<>  : Anregung UNE>1;1
131;93;U<>  : tUNE>1 abgelaufen;1
131;94;U<>  : tUNE>2 abgelaufen;1
131;222;U<>  : Anregung U>2;1
131;5;ZUKS : Z1 erweitert;1
131;6;DIST : t1.Ü abgelaufen;1
131;13;DIST : tUSpeicher läuft;1
131;14;DIST : Anreg. umgesch. LE;1
130;50;DIST : Aus Meldung Zone 2;1
130;16;DIST : Aus Meldung Zone 3;1
130;17;DIST : Aus Meldung Zone 4;1
130;18;DIST : Aus Meldung Zone 5;1
130;19;DIST : Aus Meldung Zone 6;1
131;1;DIST : Aus Meldung Zone 1;1
131;3;DIST : Aus Meldung Zone 1.Ü;1
131;2;DIST : Aus Meldung Zone2-10;1
131;238;U<>  : Anregung Ugegen>1;1
131;239;U<>  : Anregung Ugegen>2;1
131;240;U<>  : tUgegen>1 abgelaufen;1
131;241;U<>  : tUgegen>2 abgelaufen;1
131;242;U<>  : tU<1 abgel. Wisch;1
131;244;U<>  : tU<1 3p abgel. Wisch;1
131;245;U<>  : tU<2 abgel. Wisch;1
131;246;U<>  : tUmit<1 abgel. Wisch;1
131;248;U<>  : tUmit<2 abgel. Wisch;1
130;248;U<>  : nicht bereit;1
131;201;THERM: Aus Meldung;1
135;240;U<>  : Anregung U<1 1p;1
130;119;ST_AZ: Zeitmarke falsch;1
130;51;DIST : eingeschaltet;1
130;158;DIST : tIE> läuft;1
131;30;GRUND: Rushst. L1 angespr.;1
131;31;GRUND: Rushst. L2 angespr.;1
131;32;GRUND: Rushst. L3 angespr.;1
130;231;MKÜ  : Meßkr. U. Uref gest.;1
131;8;U<>  : Störfall U<1;1
131;9;U<>  : Störfall U<1 3p;1
131;10;U<>  : Störfall U<2;1
131;11;U<>  : Störfall Umit<1;1
131;12;U<>  : Störfall Umit<2;1
131;7;MKÜ  : FF. U angesprochen;1
131;243;MKÜ  : FF.Uref angesprochen;1
131;15;GRUND: Definitives Aus;1
128;23;PSU  : PS 1 eingeschaltet;1
128;24;PSU  : PS 2 eingeschaltet;1
128;25;PSU  : PS 3 eingeschaltet;1
128;26;PSU  : PS 4 eingeschaltet;1
135;242;U<>  : Anregung U<3 1p;1
131;185;LSV  : eingeschaltet;1
131;190;NOT  : eingeschaltet;1
131;191;MKÜ  : eingeschaltet;1
131;193;ZUKS : eingeschaltet;1
130;186;ZUKS : tHand-Ein läuft;1
130;63;MKÜ  : Peripheriestörung;1
135;241;U<>  : Anregung U<2 1p;1
130;194;LOGIK: eingeschaltet;1
131;73;U<>  : eingeschaltet;1
131;223;U<>  : Anregung U>1 3p;1
131;224;U<>  : tU>1 3p abgelaufen;1
131;225;U<>  : Anregung U<2;1
131;226;U<>  : Anregung U<1 3p;1
131;227;U<>  : tU<1 3p abgelaufen;1
131;228;U<>  : tU<x abgel. Wisch;1
131;229;U<>  : Anregung UNE>2;1
131;230;U<>  : Anregung Umit>1;1
131;231;U<>  : Anregung Umit>2;1
131;247;U<>  : tUmit>1 abgelaufen;1
131;232;U<>  : tUmit>2 abgelaufen;1
131;233;U<>  : Anregung Umit<1;1
131;234;U<>  : Anregung Umit<2;1
131;235;U<>  : tUmit<1 abgelaufen;1
131;236;U<>  : tUmit<2 abgelaufen;1
131;237;U<>  : tUmit<x abgel. Wisch;1
131;107;LOGIK: Ausgang 01;1
131;108;LOGIK: Ausgang 01 (t);1
131;109;LOGIK: Ausgang 02;1
131;110;LOGIK: Ausgang 02 (t);1
131;111;LOGIK: Ausgang 03;1
131;112;LOGIK: Ausgang 03 (t);1
131;113;LOGIK: Ausgang 04;1
131;114;LOGIK: Ausgang 04 (t);1
131;115;LOGIK: Ausgang 05;1
131;116;LOGIK: Ausgang 05 (t);1
131;117;LOGIK: Ausgang 06;1
131;118;LOGIK: Ausgang 06 (t);1
131;119;LOGIK: Ausgang 07;1
131;120;LOGIK: Ausgang 07 (t);1
131;121;LOGIK: Ausgang 08;1
131;122;LOGIK: Ausgang 08 (t);1
131;123;LOGIK: Ausgang 09;1
131;124;LOGIK: Ausgang 09 (t);1
131;125;LOGIK: Ausgang 10;1
131;126;LOGIK: Ausgang 10 (t);1
131;127;LOGIK: Ausgang 11;1
131;128;LOGIK: Ausgang 11 (t);1
131;129;LOGIK: Ausgang 12;1
131;130;LOGIK: Ausgang 12 (t);1
131;131;LOGIK: Ausgang 13;1
131;132;LOGIK: Ausgang 13 (t);1
131;133;LOGIK: Ausgang 14;1
131;134;LOGIK: Ausgang 14 (t);1
131;135;LOGIK: Ausgang 15;1
131;136;LOGIK: Ausgang 15 (t);1
131;137;LOGIK: Ausgang 16;1
131;138;LOGIK: Ausgang 16 (t);1
131;139;LOGIK: Ausgang 17;1
131;140;LOGIK: Ausgang 17 (t);1
131;141;LOGIK: Ausgang 18;1
131;142;LOGIK: Ausgang 18 (t);1
131;143;LOGIK: Ausgang 19;1
131;144;LOGIK: Ausgang 19 (t);1
131;145;LOGIK: Ausgang 20;1
131;146;LOGIK: Ausgang 20 (t);1
131;147;LOGIK: Ausgang 21;1
131;148;LOGIK: Ausgang 21 (t);1
131;149;LOGIK: Ausgang 22;1
131;150;LOGIK: Ausgang 22 (t);1
131;151;LOGIK: Ausgang 23;1
131;152;LOGIK: Ausgang 23 (t);1
131;153;LOGIK: Ausgang 24;1
131;154;LOGIK: Ausgang 24 (t);1
131;155;LOGIK: Ausgang 25;1
131;156;LOGIK: Ausgang 25 (t);1
131;157;LOGIK: Ausgang 26;1
131;158;LOGIK: Ausgang 26 (t);1
131;159;LOGIK: Ausgang 27;1
131;160;LOGIK: Ausgang 27 (t);1
131;161;LOGIK: Ausgang 28;1
131;162;LOGIK: Ausgang 28 (t);1
131;163;LOGIK: Ausgang 29;1
131;164;LOGIK: Ausgang 29 (t);1
131;165;LOGIK: Ausgang 30;1
131;166;LOGIK: Ausgang 30 (t);1
131;167;LOGIK: Ausgang 31;1
131;168;LOGIK: Ausgang 31 (t);1
131;169;LOGIK: Ausgang 32;1
131;170;LOGIK: Ausgang 32 (t);1
130;100;LOGIK: Setzen 01 BED;1
130;101;LOGIK: Setzen 02 BED;1
130;102;LOGIK: Setzen 03 BED;1
130;103;LOGIK: Setzen 04 BED;1
130;104;LOGIK: Setzen 05 BED;1
130;105;LOGIK: Setzen 06 BED;1
130;106;LOGIK: Setzen 07 BED;1
130;107;LOGIK: Setzen 08 BED;1
130;108;LOGIK: Triggern 1;1
130;109;LOGIK: Triggern 2;1
130;110;LOGIK: Triggern 3;1
130;111;LOGIK: Triggern 4;1
130;112;LOGIK: Triggern 5;1
130;113;LOGIK: Triggern 6;1
130;114;LOGIK: Triggern 7;1
130;115;LOGIK: Triggern 8;1
130;188;DIST : UNE>> angesprochen;1
130;203;DIST : tUNE>> abgelaufen;1
130;65;DIST : Meßbereich erw. LU;1
128;33;MKÜ  : Meßkreise U gestört;1
131;179;MKÜ  : Erdanregung angespr.;1
128;72;NOT  : Aus Meldung;1
133;109;ZUKS : Anregung IE>;1
133;110;ZUKS : tIE> abgelaufen;1
133;112;ZUKS : Anregung I>;1
133;113;ZUKS : tI> abgelaufen;1
133;114;ZUKS : aktiv;1
130;243;GRUND: Ein Kommando;1
128;32;MKÜ  : Meßkreise I gestört;1
130;10;DIST : vorw. ohne Messung;1
130;11;DIST : Richtg. mit UMeß;1
130;12;DIST : Richtg. mit USpeich.;1
131;175;GRUND: Gen. Aus Kommando 2;1
244;2;BM01 : Schaltgerät Aus;1
244;3;BM01 : Schaltgerät Ein;1
244;4;BM01 : Schaltg. läuft/Stör;1
244;6;BM02 : Schaltgerät Aus;1
244;7;BM02 : Schaltgerät Ein;1
244;8;BM02 : Schaltg. läuft/Stör;1
244;10;BM03 : Schaltgerät Aus;1
244;11;BM03 : Schaltgerät Ein;1
244;12;BM03 : Schaltg. läuft/Stör;1
244;14;BM04 : Schaltgerät Aus;1
244;15;BM04 : Schaltgerät Ein;1
244;16;BM04 : Schaltg. läuft/Stör;1
132;213;LSV  : bereit;1
132;191;LSV  : Anregung;1
132;171;LSV  : LS Abb. unplausibel;1
132;172;LSV  : Anwurf 3p;1
132;176;LSV  : Aus Meldung t1;1
132;215;LSV  : Aus Meldung t2;1
132;181;LSV  : Aus Kommando t1;1
132;185;LSV  : Aus Kommando t2;1
132;186;LSV  : Endfehler;1
132;187;LSV  : Aus Meldung LS GLÜ;1
132;161;LSV  : Stromfluß L1;1
132;162;LSV  : Stromfluß L2;1
132;163;LSV  : Stromfluß L3;1
132;164;LSV  : Stromfluß Lx;1
132;160;LSV  : nicht bereit;1
131;198;LSV  : Aus Meldung;1
244;81;GRUND: AV eingeschaltet;1
244;82;GRUND: FV eingeschaltet;1
248;114;VOB  : Ortsteuersp. angespr;1
244;84;GRUND: Steuerg. freigegeben;1
248;115;VOB  : Fernsteuersp. angesp;1
132;80;DIST : t9 abgelaufen;1
132;81;DIST : t10 abgelaufen;1
132;82;DIST : Aus Meldung Zone 9;1
132;83;DIST : Aus Meldung Zone 10;1
132;58;DIST : Impedanz in Zone 6;1
132;238;GRUND: Man. Ein K. freigeg.;1
133;104;GRUND: Erdkurzschluß L1;1
133;105;GRUND: Erdkurzschluß L2;1
133;106;GRUND: Erdkurzschluß L3;1
249;1;MEL_1: Meldung M001.logisch;1
249;2;MEL_1: Meldung M002.logisch;1
249;3;MEL_1: Meldung M003.logisch;1
249;4;MEL_1: Meldung M004.logisch;1
249;5;MEL_1: Meldung M005.logisch;1
249;6;MEL_1: Meldung M006.logisch;1
133;244;GRUND: Schalterfall;1
248;123;GRUND: DS Fehl. Absteuer.;1
248;124;GRUND: DS Fehl. Ansteuer.;1
248;125;GRUND: BM-Laufz. überschr.;1
248;126;GRUND: StartBefLz.überschr.;1
248;147;GRUND: Flatterunt. angespr.;1
131;194;GRUND: Erdschluß;1
128;51;GRUND: Erdschluß vorw./LS;1
128;52;GRUND: Erdschluß rückw./SS;1
128;48;GRUND: Erdschluß L1;1
128;49;GRUND: Erdschluß L2;1
128;50;GRUND: Erdschluß L3;1
134;98;KURI : P blockiert;1
133;166;U<>  : tU<3 3p abgel. Wisch;1
128;254;KURI : Fehler L vorwärts;1
128;255;KURI : Fehler L rückwärts;1
134;101;KURI : Leit.vorw. ohne Mess;1
134;102;KURI : Leit.Richt. mit UMeß;1
134;103;KURI : Leit.Richt. mit USPS;1
248;122;GRUND: Verrieg.bed. n. erf.;1
132;165;P<>  : tQ< abgel. Wischer;1
132;201;P<>  : Störfall Q<<;1
132;204;P<>  : Anregung Q<<;1
132;205;P<>  : Meld. Q<< verzögert;1
132;206;P<>  : tQ<< abgel. Wischer;1
132;209;P<>  : Anregung P<;1
132;210;P<>  : Meldung P< verzögert;1
132;217;P<>  : tP< abgel. Wischer;1
132;218;P<>  : Störfall P<;1
132;219;P<>  : Anregung P<<;1
132;220;P<>  : Störfall P<<;1
132;221;P<>  : Aus Meldung P<<;1
132;222;P<>  : Aus Meld. P<< Wisch;1
132;223;P<>  : Anregung Q<;1
132;224;P<>  : Meldung Q< verzögert;1
132;225;P<>  : Störfall Q<;1
132;226;P<>  : Aus Meldung Q<;1
132;227;P<>  : Aus Meld. Q< Wischer;1
132;228;P<>  : Aus Meldung Q<<;1
132;229;P<>  : Aus Meld. Q<< Wisch;1
132;230;P<>  : Richt. P vorwärts;1
132;231;P<>  : Richt. P rückwärts;1
132;232;P<>  : Richt. Q vorwärts;1
132;233;P<>  : Richt. Q rückwärts;1
132;234;P<>  : tP</tP<< abgel.Wisch;1
132;235;P<>  : tQ</tQ<< abgel.Wisch;1
133;165;GRUND: Stromfluß L3;1
130;199;GRUND: Aus Meldung 1. L1;1
130;200;GRUND: Aus Meldung 1. L2;1
130;201;GRUND: Aus Meldung 1. L3;1
133;180;U<>  : Anregung U>2 3p;1
133;179;U<>  : tU>2 3p abgelaufen;1
133;178;U<>  : Anregung U<2 3p;1
133;177;U<>  : tU<2 3p abgelaufen;1
133;176;U<>  : tU<2 3p abgel. Wisch;1
133;175;U<>  : Anregung U>3;1
133;174;U<>  : Anregung U>3 3p;1
133;173;U<>  : tU>3 abgelaufen;1
133;172;U<>  : tU>3 3p abgelaufen;1
133;171;U<>  : Anregung U<3;1
133;170;U<>  : Anregung U<3 3p;1
133;169;U<>  : tU<3 abgelaufen;1
133;168;U<>  : tU<3 abgel. Wisch;1
130;171;LOGIK: 01 gesetzt;1
130;172;LOGIK: 02 gesetzt;1
130;173;LOGIK: 03 gesetzt;1
130;174;LOGIK: 04 gesetzt;1
130;175;LOGIK: 05 gesetzt;1
130;178;LOGIK: 06 gesetzt;1
130;133;LOGIK: 07 gesetzt;1
130;134;LOGIK: 08 gesetzt;1
130;135;LOGIK: 01 extern gesetzt;1
