LECROYMAUI,0,Waveform
Segments,1,SegmentSize,250002
Segment,TrigTime,TimeSinceSegment1
#1,14-May-2025 13:04:15,0                 
Time,Ampl
-0.00160000232,-0.0032
-0.00159999432,-0.0046
-0.00159998632,-0.0036
-0.00159997832,-0.0032
-0.00159997032,-0.004
-0.00159996232,-0.003
-0.00159995432,-0.003
-0.00159994632,-0.0034
-0.00159993832,-0.003
-0.00159993032,-0.0038
-0.00159992232,-0.0034
-0.00159991432,-0.0046
-0.00159990632,-0.004
-0.00159989832,-0.0036
-0.00159989032,-0.0032
-0.00159988232,-0.0036
-0.00159987432,-0.0026
-0.00159986632,-0.0042
-0.00159985832,-0.0036
-0.00159985032,-0.0024
-0.00159984232,-0.003
-0.00159983432,-0.003
-0.00159982632,-0.0024
-0.00159981832,-0.0052
-0.00159981032,-0.0028
-0.00159980232,-0.004
-0.00159979432,-0.0034
-0.00159978632,-0.0046
-0.00159977832,-0.004
-0.00159977032,-0.0026
-0.00159976232,-0.0034
-0.00159975432,-0.0032
-0.00159974632,-0.003
-0.00159973832,-0.0048
-0.00159973032,-0.0038
-0.00159972232,-0.0034
-0.00159971432,-0.0028
-0.00159970632,-0.0036
-0.00159969832,-0.004
-0.00159969032,-0.0032
-0.00159968232,-0.0036
-0.00159967432,-0.0026
-0.00159966632,-0.0024
-0.00159965832,-0.0034
-0.00159965032,-0.0038
-0.00159964232,-0.0034
-0.00159963432,-0.0044
-0.00159962632,-0.0044
-0.00159961832,-0.003
-0.00159961032,-0.0036
-0.00159960232,-0.003
-0.00159959432,-0.0036
-0.00159958632,-0.0042
-0.00159957832,-0.0042
-0.00159957032,-0.0028
-0.00159956232,-0.0034
-0.00159955432,-0.0044
-0.00159954632,-0.0046
-0.00159953832,-0.0044
-0.00159953032,-0.003
-0.00159952232,-0.005
-0.00159951432,-0.0038
-0.00159950632,-0.0034
-0.00159949832,-0.0034
-0.00159949032,-0.0046
-0.00159948232,-0.0034
-0.00159947432,-0.0044
-0.00159946632,-0.0032
-0.00159945832,-0.0044
-0.00159945032,-0.0036
-0.00159944232,-0.0026
-0.00159943432,-0.0032
-0.00159942632,-0.0042
-0.00159941832,-0.0042
-0.00159941032,-0.0034
-0.00159940232,-0.0036
-0.00159939432,-0.0038
-0.00159938632,-0.0032
-0.00159937832,-0.004
-0.00159937032,-0.004
-0.00159936232,-0.0036
-0.00159935432,-0.0038
-0.00159934632,-0.0044
-0.00159933832,-0.0044
-0.00159933032,-0.0046
-0.00159932232,-0.004
-0.00159931432,-0.0028
-0.00159930632,-0.0046
-0.00159929832,-0.0042
-0.00159929032,-0.0034
-0.00159928232,-0.0036
-0.00159927432,-0.0044
-0.00159926632,-0.0048
-0.00159925832,-0.004
-0.00159925032,-0.0038
-0.00159924232,-0.0044
-0.00159923432,-0.0048
-0.00159922632,-0.0032
-0.00159921832,-0.0052
-0.00159921032,-0.0038
-0.00159920232,-0.004
-0.00159919432,-0.0036
-0.00159918632,-0.0042
-0.00159917832,-0.004
-0.00159917032,-0.0028
-0.00159916232,-0.0028
-0.00159915432,-0.004
-0.00159914632,-0.0026
-0.00159913832,-0.0034
-0.00159913032,-0.0034
-0.00159912232,-0.0042
-0.00159911432,-0.0026
-0.00159910632,-0.0032
-0.00159909832,-0.0036
-0.00159909032,-0.0056
-0.00159908232,-0.0038
-0.00159907432,-0.0038
-0.00159906632,-0.0036
-0.00159905832,-0.0046
-0.00159905032,-0.0042
-0.00159904232,-0.0034
-0.00159903432,-0.0044
-0.00159902632,-0.0036
-0.00159901832,-0.0028
-0.00159901032,-0.003
-0.00159900232,-0.0044
-0.00159899432,-0.003
-0.00159898632,-0.0026
-0.00159897832,-0.0032
-0.00159897032,-0.0036
-0.00159896232,-0.0058
-0.00159895432,-0.0038
-0.00159894632,-0.0024
-0.00159893832,-0.0034
-0.00159893032,-0.0022
-0.00159892232,-0.0036
-0.00159891432,-0.0038
-0.00159890632,-0.0036
-0.00159889832,-0.0048
-0.00159889032,-0.004
-0.00159888232,-0.0038
-0.00159887432,-0.0046
-0.00159886632,-0.0038
-0.00159885832,-0.0024
-0.00159885032,-0.0028
-0.00159884232,-0.0024
-0.00159883432,-0.0036
-0.00159882632,-0.0038
-0.00159881832,-0.0022
-0.00159881032,-0.0038
-0.00159880232,-0.0026
-0.00159879432,-0.005
-0.00159878632,-0.0022
-0.00159877832,-0.002
-0.00159877032,-0.0024
-0.00159876232,-0.0034
-0.00159875432,-0.0024
-0.00159874632,-0.0026
-0.00159873832,-0.0036
-0.00159873032,-0.002
-0.00159872232,-0.0018
-0.00159871432,-0.0016
-0.00159870632,-0.0042
-0.00159869832,-0.0026
-0.00159869032,-0.0032
-0.00159868232,-0.0034
-0.00159867432,-0.0026
-0.00159866632,-0.002
-0.00159865832,-0.0036
-0.00159865032,-0.0042
-0.00159864232,-0.003
-0.00159863432,-0.0036
-0.00159862632,-0.0034
-0.00159861832,-0.004
-0.00159861032,-0.0034
-0.00159860232,-0.0044
-0.00159859432,-0.004
-0.00159858632,-0.004
-0.00159857832,-0.0032
-0.00159857032,-0.0038
-0.00159856232,-0.004
-0.00159855432,-0.0034
-0.00159854632,-0.0042
-0.00159853832,-0.003
-0.00159853032,-0.0034
-0.00159852232,-0.0042
-0.00159851432,-0.0032
-0.00159850632,-0.0036
-0.00159849832,-0.004
-0.00159849032,-0.0022
-0.00159848232,-0.0042
-0.00159847432,-0.0036
-0.00159846632,-0.0036
-0.00159845832,-0.004
-0.00159845032,-0.0018
-0.00159844232,-0.0032
-0.00159843432,-0.0038
-0.00159842632,-0.004
-0.00159841832,-0.0028
-0.00159841032,-0.0036
-0.00159840232,-0.003
-0.00159839432,-0.0036
-0.00159838632,-0.0042
-0.00159837832,-0.0034
-0.00159837032,-0.0038
-0.00159836232,-0.0026
-0.00159835432,-0.0038
-0.00159834632,-0.002
-0.00159833832,-0.003
-0.00159833032,-0.0026
-0.00159832232,-0.002
-0.00159831432,-0.0044
-0.00159830632,-0.0026
-0.00159829832,-0.005
-0.00159829032,-0.0028
-0.00159828232,-0.0026
-0.00159827432,-0.003
-0.00159826632,-0.0024
-0.00159825832,-0.003
-0.00159825032,-0.0038
-0.00159824232,-0.0024
-0.00159823432,-0.0036
-0.00159822632,-0.0036
-0.00159821832,-0.0034
-0.00159821032,-0.003
-0.00159820232,-0.0034
-0.00159819432,-0.0038
-0.00159818632,-0.003
-0.00159817832,-0.0018
-0.00159817032,-0.0034
-0.00159816232,-0.002
-0.00159815432,-0.0026
-0.00159814632,-0.0028
-0.00159813832,-0.003
-0.00159813032,-0.003
-0.00159812232,-0.0024
-0.00159811432,-0.0048
-0.00159810632,-0.0028
-0.00159809832,-0.0032
-0.00159809032,-0.0046
-0.00159808232,-0.002
-0.00159807432,-0.0036
-0.00159806632,-0.004
-0.00159805832,-0.0034
-0.00159805032,-0.0042
-0.00159804232,-0.002
-0.00159803432,-0.0028
-0.00159802632,-0.003
-0.00159801832,-0.0028
-0.00159801032,-0.0036
-0.00159800232,-0.0028
-0.00159799432,-0.0026
-0.00159798632,-0.004
-0.00159797832,-0.0044
-0.00159797032,-0.0046
-0.00159796232,-0.0026
-0.00159795432,-0.002
-0.00159794632,-0.0018
-0.00159793832,-0.002
-0.00159793032,-0.0024
-0.00159792232,-0.0036
-0.00159791432,-0.0016
-0.00159790632,-0.0032
-0.00159789832,-0.003
-0.00159789032,-0.0028
-0.00159788232,-0.0028
-0.00159787432,-0.004
-0.00159786632,-0.003
-0.00159785832,-0.0034
-0.00159785032,-0.0034
-0.00159784232,-0.0024
-0.00159783432,-0.0028
-0.00159782632,-0.0014
-0.00159781832,-0.0028
-0.00159781032,-0.003
-0.00159780232,-0.0032
-0.00159779432,-0.0036
-0.00159778632,-0.004
-0.00159777832,-0.0028
-0.00159777032,-0.0016
-0.00159776232,-0.0016
-0.00159775432,-0.003
-0.00159774632,-0.002
-0.00159773832,-0.0032
-0.00159773032,-0.0034
-0.00159772232,-0.0024
-0.00159771432,-0.0032
-0.00159770632,-0.0014
-0.00159769832,-0.0028
-0.00159769032,-0.0022
-0.00159768232,-0.0018
-0.00159767432,-0.0024
-0.00159766632,-0.0014
-0.00159765832,-0.003
-0.00159765032,-0.0038
-0.00159764232,-0.0024
-0.00159763432,-0.004
-0.00159762632,-0.0024
-0.00159761832,-0.003
-0.00159761032,-0.0038
-0.00159760232,-0.004
-0.00159759432,-0.005
-0.00159758632,-0.0034
-0.00159757832,-0.0038
-0.00159757032,-0.003
-0.00159756232,-0.0032
-0.00159755432,-0.004
-0.00159754632,-0.0028
-0.00159753832,-0.0046
-0.00159753032,-0.0022
-0.00159752232,-0.0042
-0.00159751432,-0.003
-0.00159750632,-0.0016
-0.00159749832,-0.003
-0.00159749032,-0.0032
-0.00159748232,-0.0032
-0.00159747432,-0.0038
-0.00159746632,-0.0026
-0.00159745832,-0.003
-0.00159745032,-0.0018
-0.00159744232,-0.0026
-0.00159743432,-0.0028
-0.00159742632,-0.003
-0.00159741832,-0.0028
-0.00159741032,-0.0034
-0.00159740232,-0.0018
-0.00159739432,-0.0028
-0.00159738632,-0.0048
-0.00159737832,-0.0036
-0.00159737032,-0.0036
-0.00159736232,-0.003
-0.00159735432,-0.0046
-0.00159734632,-0.0048
-0.00159733832,-0.0034
-0.00159733032,-0.0044
-0.00159732232,-0.0032
-0.00159731432,-0.003
-0.00159730632,-0.0036
-0.00159729832,-0.0032
-0.00159729032,-0.0044
-0.00159728232,-0.0034
-0.00159727432,-0.0042
-0.00159726632,-0.0044
